S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator,Unnamed: 7,Unnamed: 8,Ms. Zoya Mahboob,3
BS Batch 2025,,,,,,,,,Mr. Muhammad Muneeb Baig,3.0
1,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2A,Ms. Seerat Afreen,Mr. Usama Bin Imran,,,Ms. Noor Ul Ain ,4.0
2,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2B,Ms. Seerat Afreen,,,,Ms. Arige Anjum,3.0
3,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2C,Ms. Seerat Afreen,,,,Mr. Akbar Ali Shah,3.0
4,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2D,Mr. Abdullah Bin Zahid,,,,Mr. Jawad Wakeel,3.0
5,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2E,Mr. Abdullah Bin Zahid,,,,CS,
6,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2F,Mr. Abdullah Bin Zahid,,,,Mr. Abdullah Bin Zahid,3.0
7,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2G,Mr. Usama Bin Imran,,,,Mr. Ali Umer,3.0
8,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2H,Mr. Usama Bin Imran,,,,Mr. Hamza Mahmood Sheikh,3.0
9,CL-1004,Object Oriented Programming Lab (CS),1.0,BCS-2J,Mr. Usama Bin Imran,,,,Mr. Imran Khan,3.0
10,CL-1004,Object Oriented Programming Lab (AI),1.0,BAI-2A,Ms. Mubara Asma,,40+,,Mr. Muhammad Ismail ,3.0
11,CL-1004,Object Oriented Programming Lab (AI),1.0,BAI-2B,Ms. Mubara Asma,,40+,,Mr. Muhammad Talha Sharif,3.0
12,CL-1004,Object Oriented Programming Lab (AI),1.0,BAI-2C,Ms. Mubara Asma,,45,,Mr. Muhammad Umair Khalid,3.0
13,EL-1005,Digital Logic Design Lab (AI),1.0,BAI-2A,Mr. M. Ammar Massod,,40+,,Mr. Usama Bin Imran,3.0
14,EL-1005,Digital Logic Design Lab (AI),1.0,BAI-2B,Mr. M. Ammar Massod,,40+,,Ms. Asma Tufail,3.0
15,EL-1005,Digital Logic Design Lab (AI),1.0,BAI-2C,Mr. M. Ammar Massod,,40+,,Ms. Hajira Uzair,3.0
16,CL-1004,Object Oriented Programming Lab (DS),1.0,BDS-2A,Ms. Nayyera Wasim ,,35+,,Ms. Laiba Noor,3.0
17,CL-1004,Object Oriented Programming Lab (DS),1.0,BDS-2B,Ms. Nayyera Wasim ,,35+,,Ms. Syeda Mahnoor Javed,3.0
18,EL-1005,Digital Logic Design Lab  (DS),1.0,BDS-2A,Mr. Abdul Wahab Khan,,35+,,Ms. Zill-E-Huma,3.0
19,EL-1005,Digital Logic Design Lab  (DS),1.0,BDS-2B,Mr. Abdul Wahab Khan,,35+,,,
20,CL-1004,Object Oriented Programming Lab (CY),1.0,BCY-2A,Mr. Nawaful Waqar ,,,,,
21,CL-1004,Object Oriented Programming Lab (CY),1.0,BCY-2B,Mr. Nawaful Waqar ,,,,,
22,CL-1004,Object Oriented Programming Lab (CY),1.0,BCY-2C,Mr. Ahsan Shakeel Malik,,,,,
23,EL-1005,Digital Logic Design Lab  (CY),1.0,BCY-2A,Mr. Khubab Ahmed,,,,,
24,EL-1005,Digital Logic Design Lab  (CY),1.0,BCY-2B,Mr. Khubab Ahmed,,,,,
25,EL-1005,Digital Logic Design Lab  (CY),1.0,BCY-2C,Mr. Nawaful Waqar ,,,,,
26,CL-1004,Object Oriented Programming Lab (SE),1.0,BSE-2A,Mr. Akbar Ali Shah,Mr. Akbar Ali Shah,,,,
27,CL-1004,Object Oriented Programming Lab (SE),1.0,BSE-2B,Mr. Akbar Ali Shah,,,,,
28,CL-1004,Object Oriented Programming Lab (SE),1.0,BSE-2C,Mr. Jawad Wakeel,,,,,
29,CL-1004,Object Oriented Programming Lab (SE),1.0,BSE-2D,Mr. Jawad Wakeel,,,,,
30,EL-1005,Digital Logic Design Lab  (SE),1.0,BSE-2A,Ms. Hifza Umer,Ms. Hifza Umer,,,,
31,EL-1005,Digital Logic Design Lab  (SE),1.0,BSE-2B,Ms. Hifza Umer,,,,,
32,EL-1005,Digital Logic Design Lab  (SE),1.0,BSE-2C,Ms. Arige Anjum,,,,,
33,EL-1005,Digital Logic Design Lab  (SE),1.0,BSE-2D,Ms. Arige Anjum,,,,,
BS Batch 2025 and Earlier Batches Repeat Courses,EL-1005,Digital Logic Design Lab  (SE),1.0,,,,,,,
34,CL-1002,Programming Fundametals Lab (CS),1.0,BCS-2A,Mr. Muhammad Ismail ,Mr. Muhammad Ismail ,,,,
35,CL-1002,Programming Fundametals Lab (CS),1.0,BCS-2B,Mr. Muhammad Ismail ,,,,,
36,CL-1002,Programming Fundametals Lab (CS),1.0,BCS-2C,Mr. Muhammad Ismail ,,,,,
37,CL-1002,Programming Fundametals Lab (AI&DS),1.0,BAI-2A,Mr. Abdul Wahab Khan,,30+,,,
38,CL-1002,Programming Fundametals Lab (AI&DS),1.0,BAI-2B,,,,,,
39,CL-1002,Programming Fundametals Lab (CY),1.0,BCY-2A,Ms. Areej Fatima ,,,,,
40,CL-1002,Programming Fundametals Lab (SE),1.0,BSE-2A,Ms. Arige Anjum,,,,,
BS Batch 2024,CL-1002,Programming Fundametals Lab (SE),1.0,,,,,,,
41,CL-2005,Database Systems Lab (CS),1.0,BCS-4A,Mr. Muhammad Umair Khalid,Ms. Asma Tufail,,,,
